layer,character,pixels,x0,x1,y0,y1,mean_rgb,body_fraction,verdict
neonblue/neonblue_23_waving.png,neonblue,7086,256,347,609,749,#60D38A,0.587,UNREVIEWED
neonblue/neonblue_28_celebrating.png,neonblue,6859,261,340,638,765,#61D48D,0.6,UNREVIEWED
moodz/moodz_28_celebrating.png,moodz,6310,230,323,587,783,#E78E55,0.588,UNREVIEWED
neonblue/neonblue_20_confused.png,neonblue,5297,264,341,659,755,#61DB8B,0.603,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,3517,162,236,378,471,#D69273,0.347,UNREVIEWED
clever/clever_14_shout.png,clever,3287,274,390,465,516,#D77B75,0.493,UNREVIEWED
clever/clever_15_laughing.png,clever,2908,286,392,468,512,#E1827B,0.493,UNREVIEWED
ash/ash_15_laughing.png,ash,2773,384,473,559,609,#EB6B6F,0.493,UNREVIEWED
moodz/moodz_28_celebrating.png,moodz,2544,408,494,543,590,#E6697D,0.478,UNREVIEWED
twotone/twotone_13_pointing.png,twotone,2525,678,759,429,516,#D49171,0.39,UNREVIEWED
twotone/twotone_12_sitting.png,twotone,2312,705,751,458,530,#D88E73,0.407,UNREVIEWED
moodz/moodz_10_walking.png,moodz,2206,289,349,718,787,#E68D55,0.644,UNREVIEWED
twotone/twotone_12_sitting.png,twotone,2167,164,209,458,530,#D98E74,0.407,UNREVIEWED
neonblue/neonblue_28_celebrating.png,neonblue,1781,383,471,568,601,#DF637B,0.493,UNREVIEWED
clever/clever_23_waving.png,clever,1770,297,378,458,496,#DB767A,0.479,UNREVIEWED
moodz/moodz_00_clean_base.png,moodz,1705,286,336,728,786,#E78E54,0.646,UNREVIEWED
moodz/moodz_25_crouching.png,moodz,1541,286,335,728,786,#E08E58,0.646,UNREVIEWED
clever/clever_08_shocked.png,clever,1391,315,371,475,518,#E4807E,0.501,UNREVIEWED
moodz/moodz_21_running.png,moodz,1320,295,337,717,776,#E48D55,0.636,UNREVIEWED
moodz/moodz_29_lookingup.png,moodz,1249,286,334,729,780,#E58E56,0.644,UNREVIEWED
moodz/moodz_20_confused.png,moodz,1235,286,335,728,785,#E58F57,0.646,UNREVIEWED
